#{"t_start": 1591108542.778246, "env_id": null}
r,l,t
-26206.785034,1636,2.387505
-25691.952448,3172,5.70814
-15918.902057,2448,8.18304
-37234.44043,1741,9.983142
-54797.540367,1758,11.775363
-28711.903412,2001,13.807439
-94178.139389,2266,16.138866
-13490.741066,1614,17.758317
-1354.393845,828,18.611469
-44366.869974,2000,20.661881
-46670.201568,1977,22.727443
-55069.937792,2191,24.949682
-196.344773,251,25.209598
-8221.732163,2144,27.42967
-35.602066,58,27.476586
-249.372489,280,27.755267
-2368.818904,828,28.600574
-420.251473,192,28.793366
-25284.40746,1652,30.501157
-8915.66609,1602,32.168246
-52911.231054,1882,34.093148
-38380.603893,2732,36.967491
-61587.580283,1642,38.662533
-65531.651869,2182,40.98236
-10031.45142,2462,43.502857
-43466.177812,2239,45.850205
-53181.383256,1837,47.873894
-1413.935571,303,48.195548
-18835.937845,1519,49.7807
-45323.165542,1939,51.771132
-1178.571359,197,51.998947
-44638.106848,2795,55.028344
-1794.118341,311,55.342513
-42763.060121,1791,57.206563
-18371.181079,1536,58.829873
-15703.426723,1593,60.436152
-635.553189,1037,61.537705
-53263.08443,1654,63.224302
-12531.941241,1687,64.921996
-492.962173,300,65.21638
-9976.90858,1529,66.737711
-889.161296,251,67.005846
-367.791243,180,67.18464
-1901.362615,400,67.565928
-13915.222216,1879,69.484614
-17680.557363,1547,71.042042
-965.31988,694,71.767856
-76052.523514,1867,73.631247
-86241.941836,2052,75.687945
-13170.309238,1792,77.481946
-35914.7769,1903,79.41843
-90320.82999,2269,81.718053
-78860.058301,2080,83.786932
-47569.54556,2841,86.633243
-43699.752994,1672,88.389473
-60979.548735,3212,91.748203
-27746.921867,2196,94.113656
-55566.898737,2074,96.40869
-39880.503669,2231,98.877654
-57774.506894,1951,101.063795
-76349.72362,1806,103.068452
-49769.873247,2450,105.797093
-92385.823935,2471,108.539892
-131011.918546,2684,111.602843
-67870.66883,2214,114.042257
-165557.267295,2750,117.155147
-101386.818125,2208,119.610536
-41387.399577,1807,121.618758
-124806.810539,2255,124.128981
-29448.242752,1803,126.11951
-66454.037387,2303,128.756429
-3074.773751,983,129.873782
-36318.296908,2798,132.951256
-2430.221827,1037,134.130451
-100989.536479,2449,136.854407
-64656.271045,2554,139.69595
-22200.800249,1695,141.56414
-98952.545901,2141,143.958051
-147.019356,165,144.148094
-65215.65116,1633,146.002436
-130089.011319,2823,149.127219
-14655.863081,1858,151.17192
-128220.781771,3346,154.909645
-65930.955907,2636,157.863574
-113406.960669,2716,160.852882
-37248.209685,1849,163.000096
-106330.88698,1621,164.768024
-98757.647668,2355,167.413963
-241027.842917,3937,171.742125
-169775.500866,2745,174.803642
-74750.920497,3055,178.256118
-98347.649081,2066,180.550117
-31963.743747,1696,182.428346
-83429.323477,1708,184.289161
-98157.458907,1622,186.085369
-60148.11521,2667,189.015947
-99354.973875,3033,192.38329
-54380.952196,2470,195.131208
-168888.919866,2585,198.036722
-8000.302921,1607,199.857172
-78515.623569,1745,201.78539
-130021.1815,2158,204.160459
-116467.420707,2005,206.42072
-66775.487777,1984,208.587739
-72616.788041,1925,210.734404
-55482.848983,1556,212.47342
-110548.515169,2032,214.693974
-38753.86577,1977,216.94834
-131813.847154,2003,219.160968
-148659.041415,2079,221.487797
-110597.194154,1702,223.333057
-70159.621501,1810,225.329669
-45558.83569,1723,227.271106
-39535.418278,1839,229.317314
-70170.226979,2146,231.733178
-95314.768668,1970,233.92666
-41916.942783,1625,235.768463
-74555.843138,1884,237.916363
-22273.765434,1749,239.884386
-45260.352141,1880,242.049833
-35275.124538,1437,243.699259
-47457.99495,2445,246.477196
-95265.021163,1450,248.172671
-63846.855706,1416,249.836592
-37489.269156,1721,251.782423
-101159.68832,3283,255.525236
-81907.757702,1888,257.687349
-4947.833454,1133,258.955538
-34055.868815,1876,261.111913
-50771.388302,1819,263.180333
-33185.819367,1501,264.932901
-23005.232593,1272,266.429527
-36114.76602,1625,268.277172
-48164.983653,2167,270.758808
-117561.159483,1734,272.736622
-107542.35537,1749,274.740768
-120626.584577,2022,277.054312
-16523.519373,1931,279.269554
-9512.471498,1376,280.808108
-63355.387215,1768,282.833483
-127241.671454,2407,285.656824
-120348.886712,1992,287.953787
-77549.787835,1316,289.447919
-16924.287055,1261,290.892122
-48665.352325,1345,292.416208
-70312.140107,2456,295.20876
-124304.296953,2345,297.921207
-31053.76112,2159,300.393524
-8727.915108,1793,302.510043
-143811.510318,2066,304.859941
-30476.812173,1605,306.659745
-52634.668092,1527,308.459756
-45345.826734,1827,310.627819
-34970.906348,2068,313.065568
-54294.091262,1252,314.526902
-48219.548377,1845,316.698432
-26676.540836,1166,318.074142
-103982.231291,1853,320.254015
-67385.503186,2089,322.795739
-119646.04238,2149,325.313764
-101552.419561,10452,337.622054
-43581.079389,1980,340.090126
-28082.309667,2582,343.116189
-137509.101953,4176,348.016003
-26650.798728,2741,351.282045
-39537.051567,1871,353.473844
-195483.77469,4711,359.037295
-67037.962557,1745,361.124043
-52326.891551,1757,363.119902
-10669.159476,1296,364.600793
-33842.588944,1549,366.360013
-24606.001805,1095,367.58145
-26522.133204,1662,369.489913
-34275.560503,1640,371.328489
-103051.359953,4593,376.62902
-112729.008222,1803,378.695004
-42718.203231,2581,381.627347
-45806.12993,1074,382.902116
-71920.192783,1595,384.676833
-71736.835677,2070,387.018454
-60166.524122,2054,389.340533
-67041.238319,2014,391.71715
-124139.923381,1828,393.782779
-40698.803466,1040,394.994112
-44870.611283,1615,396.806884
-85360.64557,1329,398.361801
-18306.858454,1194,399.76171
-61372.544228,1307,401.268618
-13002.648282,1162,402.598204
-86177.695461,1426,404.269393
-74145.76885,1401,405.950125
-44105.650953,1510,407.735752
-39925.655456,1536,409.541075
-100538.800033,1568,411.387174
-38477.399814,1341,412.991357
-42354.266667,1678,414.990204
-77865.372667,921,416.075829
-50735.627178,1302,417.593534
-104493.499997,1540,419.409286
-28358.040191,1102,420.728498
-78884.501425,2182,423.288845
-82485.613444,1625,425.200353
-60108.360355,1611,427.073469
-87185.242051,1495,428.867057
-32940.202638,824,429.822655
-42045.784132,1097,431.119471
-70648.419731,1256,432.605577
-59724.599003,996,433.760549
-38352.338153,1173,435.221439
-97079.177931,1364,436.772146
-86541.270704,1416,438.444522
-16116.266818,925,439.565418
-18245.758598,1226,440.967387
-59952.113377,1296,442.504075
-53702.252021,1168,443.858389
-69321.501624,1150,445.216571
-92958.613834,1484,446.962266
-15173.712118,1024,448.16871
-30377.820387,932,449.255395
-50396.10249,1163,450.607743
-42924.937557,963,451.750089
-66327.145984,1166,453.166715
-82055.296192,1184,454.587597
-121086.947623,1307,456.238405
-62352.628717,1250,457.758517
-83186.958109,1521,459.6209
-65859.062715,1104,460.964315
-16078.542326,1125,462.355342
-94567.396701,1238,463.840466
-9270.643825,969,465.033225
-79580.404784,889,466.101887
-62219.845407,1131,467.48774
-36899.992476,1146,468.90125
-34160.406334,1100,470.209437
-43477.945879,1104,471.55238
-58443.618468,1279,473.1097
-46140.814091,962,474.283492
-19266.829459,993,475.503179
-74687.856976,1163,476.917018
-33384.301097,1153,478.301795
-25812.713639,934,479.452622
-43220.086457,1376,481.134108
-15742.090001,1110,482.510582
-58191.432703,949,483.630013
-18855.743085,1103,484.931789
-58743.208701,939,486.033643
-58947.756958,1273,487.52085
-28513.027111,1128,488.866263
-43057.542406,945,489.961952
-45579.634701,1016,491.14171
-34877.964145,1032,492.367165
-63041.484839,1068,493.629327
-21329.5293,985,494.770936
-21794.697355,1090,496.055287
-22773.191272,1157,497.422212
-18747.073314,1162,498.758522
-52702.750785,1008,499.948028
-128207.915173,2287,502.657686
-34121.76282,1193,504.039955
-73180.578166,1268,505.559946
-54350.671802,1021,506.819894
-20417.345221,992,507.991388
-64859.048267,1130,509.306436
-33268.814382,1076,510.552552
-32304.130845,1055,511.767681
-45628.457543,1076,513.051117
-24615.631191,981,514.1733
-23844.516209,1001,515.341163
-18898.107327,1230,516.79226
-31377.153919,1061,518.029916
-35193.943697,1184,519.42397
-33018.658988,1139,520.750524
-58258.776006,1370,522.391985
-36917.59598,1275,523.893815
-32268.9424,2495,526.809452
-53615.839447,1090,528.094267
-53699.246646,1059,529.330531
-51341.491752,1292,530.92233
-33238.253985,1143,532.265824
-54292.701896,1066,533.533006
-14031.68922,1095,534.820445
-16361.370497,1125,536.163443
-40584.370034,1078,537.410833
-46731.01849,1088,538.684502
-35463.368607,1016,539.885016
-39395.018085,1138,541.195722
-42126.69225,1055,542.44856
-47371.972786,1175,543.791138
-45471.524691,1057,545.034272
-39484.936128,1112,546.368941
-18554.987344,1083,547.623248
-14876.771207,1058,548.901001
-29007.918384,1120,550.178776
-43591.112519,1050,551.453024
-109507.338374,1436,553.105787
-60633.20773,1339,554.721276
-96812.346839,1447,556.573038
-19124.309791,1153,557.959513
-36182.213133,1173,559.385605
-24477.103385,1090,560.683309
-28483.001127,1339,562.303101
-42194.206743,1071,563.57825
-34484.117293,1779,565.773436
-59616.098181,1181,567.186049
-30698.879768,1251,568.750114
-33346.785411,1165,570.136101
-32999.740125,1130,571.533661
-33725.10176,1092,572.842078
-60068.417805,2985,576.447158
-64627.469257,1338,578.114471
1.0,1,578.118774
-50297.531952,1062,579.383476
-28435.020719,1149,580.755475
-18800.356306,1122,582.106288
-74992.601196,3033,585.768968
-20334.813329,1029,587.012018
-58186.037483,1090,588.297817
-26393.062718,1071,589.590951
-131229.98141,1481,591.366626
-19583.891866,1022,592.586063
-7010.238249,1261,594.096752
-7449.801315,1130,595.456986
-15457.883728,1574,597.28314
-27139.064579,1063,598.554563
-29887.586976,1053,599.758908
-28568.686263,1149,601.076496
-26960.545231,1053,602.373373
-37542.325089,1016,603.552396
-64075.719757,1019,604.727895
-30978.829689,1028,605.913737
-27853.502895,989,607.074457
-32875.051258,1334,608.610058
-15619.018646,1197,610.022843
-16770.587244,1139,611.308788
-28839.245312,2025,613.649764
-34969.956111,1401,615.277425
-13744.818163,1144,616.620477
-30295.969934,1161,617.9712
