#{"t_start": 1591196038.852184, "env_id": null}
r,l,t
-52690.236607,2079,2.880072
-31263.755231,1854,4.868956
-8261.119593,1076,5.998516
-25995.046454,1895,7.960597
-14075.688698,1690,9.766458
-68022.369008,2117,11.998727
-13690.536149,1516,13.637055
-32118.76281,1539,15.264088
-36516.66537,1713,17.040524
-24250.891528,1731,18.873976
-97984.619846,2377,21.483786
-80457.875505,2268,24.430143
-45086.835285,1629,26.417251
-49640.407401,1382,28.226794
-52952.817481,1741,30.08975
-19495.826276,1666,31.856612
-177505.431089,6528,39.112367
-175289.596515,2835,42.230517
-34892.83104,2570,44.999627
-57391.750588,2725,47.895867
-44217.663024,3869,52.297922
-19649.304251,3306,55.913859
-957.353397,489,56.476774
-148237.035845,3359,60.602417
-16723.10407,2031,62.735502
-37845.758542,2203,65.006717
-31330.569431,2635,67.777356
-16427.449113,4654,72.499289
-36190.709737,1932,74.457776
-9719.253154,1593,76.133859
-2862.215452,1005,77.126367
-55647.799087,1923,79.117417
-60223.855806,2081,81.321478
-51526.324473,1779,83.193218
-33567.745669,1215,84.502668
-57348.362056,1294,85.902808
-117718.170241,2338,88.455188
-39810.671161,1519,90.143875
-41297.169836,1684,92.089089
-52385.179255,1295,93.612215
-21235.038961,1878,95.729223
-76649.809115,1943,97.94765
-56588.351569,3024,101.373586
-12745.050035,1506,103.139914
-4327.048431,1077,104.352301
-33188.369401,2122,106.745258
-37970.655326,1581,108.626335
-58367.093672,1643,110.493226
-60453.998882,2027,112.811787
-26632.794238,1603,114.633024
-88429.224697,1907,116.724033
-33865.862923,1975,118.95659
-412013.267009,9717,129.467394
-67244.554595,6940,136.916205
-28911.378309,881,137.905674
-17968.100644,828,138.824814
-21929.057463,906,139.77519
-23368.170663,839,140.713623
-31001.200956,1228,141.989058
-21286.802147,758,142.807027
-27444.388356,1105,144.019307
-18173.193039,791,144.859191
-14122.988969,932,145.836813
-36029.796288,788,146.711745
-25736.722435,1012,147.793451
-15866.909146,965,148.811372
-5907.655956,983,149.879585
-14063.563937,912,150.873308
-22395.930688,1134,152.078164
-15923.352425,1226,153.385771
-21996.222513,2062,155.582584
-11037.573335,691,156.361873
-18685.506723,1347,157.786382
-11171.054443,796,158.708163
-11898.159893,834,159.596729
-11288.229651,623,160.291064
-151.955754,210,160.522221
-17191.928203,751,161.307051
-6072.025091,605,161.985796
-10883.077044,615,162.69566
-2519.884204,371,163.115898
-7678.472867,742,163.932259
-6585.062277,876,164.871307
-10159.843035,588,165.508118
-7158.319615,646,166.19393
-14370.421652,687,166.969944
-8016.642505,729,167.736406
-10585.658208,724,168.575606
-12520.434391,910,169.539767
-21358.375143,959,170.575069
-12452.200214,801,171.448678
-7863.75854,575,172.108098
-11354.841801,780,172.953264
-22097.264582,910,173.934548
-7981.335815,622,174.608754
-11936.478201,742,175.422825
-13913.863581,737,176.231894
-23131.758727,631,176.89819
-14923.384158,745,177.713077
-13793.450722,721,178.496348
-1250.236861,110,178.605358
-1096.483966,193,178.83217
-1743.830353,337,179.182592
-8128.905819,661,179.895899
-13093.656378,941,180.933731
-50018.768175,1781,182.843373
-44421.402803,1611,184.592906
-19903.474011,1746,186.504675
-47587.49933,1976,188.653617
-104875.215033,2962,191.836857
-99471.637511,3554,195.652954
-131684.020471,3930,199.901907
-256879.019076,7732,208.473819
-156498.356634,7139,216.465997
-106969.083709,4332,221.254387
-48231.790548,3443,225.066774
-88632.725786,3019,228.379082
-73826.882482,6168,235.246106
-66861.48105,3552,239.149423
-15115.355199,3093,242.585725
-109690.336944,5027,248.163472
-2301.447844,584,248.819997
-67521.719893,2721,251.831927
-32163.610385,2157,254.1961
-180759.48257,6084,260.923621
-124659.809908,3541,264.906091
-67636.08221,3155,268.273367
-45128.38033,4473,273.051184
-73646.809711,2537,275.819676
-28261.008892,2812,278.833858
-100404.376169,3379,282.488183
-289833.449389,5970,288.947841
-76152.426939,3930,293.31619
-96847.002554,3105,296.786041
-59993.152767,2737,299.797277
-47560.65813,2622,302.761895
-147443.343747,3161,306.334446
-171950.484978,3568,310.381055
-72946.56801,2639,313.441739
-69509.254101,2121,315.875142
-45389.375764,2113,318.252088
-41422.729106,1843,320.403322
-53656.509573,1767,322.366122
-108211.654758,1986,324.649091
-131478.128972,2325,327.277295
-89615.374293,1470,328.95288
-77303.947706,1271,330.43218
-18632.009765,1004,331.57338
-79535.863638,1739,333.561049
-26738.503268,993,334.701433
-72765.474796,1539,336.441528
-40410.726877,1062,337.637309
-35553.34798,1062,338.832059
-22.452042,61,338.942175
-34951.100994,731,339.752479
-11449.241407,2321,342.382203
-28963.931573,809,343.290813
-37872.549114,1246,344.703902
-24120.836656,1171,346.036162
-50577.343606,1033,347.249757
-24311.426266,1654,349.121113
-113239.595932,2066,351.468044
-99519.390249,3088,354.950251
-221341.751783,4257,359.751338
-28179.001311,3590,363.766776
