#{"t_start": 1586768662.3315241, "env_id": null}
r,l,t
-26741.486686,8156,12.987303
-12862.109179,2097,16.337862
-13381.893116,5264,24.666799
-776.886048,857,25.960663
-1077.068518,888,27.39035
-6256.068216,4603,34.9217
-3064.199001,2411,38.870772
-648.582407,844,40.316549
-617.668363,1379,42.461189
-39.284604,140,42.747061
-4.758938,100,42.901563
-9062.757283,3789,49.032237
-5.116028,74,49.196847
-517.045595,553,50.027739
-1169.263114,1617,52.55939
-3050.080401,3228,57.59616
-544.450167,749,58.937977
-299.93798,497,59.721689
-16.569959,20,59.728871
-13.620437,19,59.736104
-7197.183596,7520,71.957497
-2860.739263,2018,75.136786
-687.32278,635,76.080322
-80.120327,831,77.442906
-1681.23462,1114,79.336173
-262.494032,440,79.97325
-1717.958294,3089,84.995598
-437.80356,1429,87.395611
-4109.277304,5668,96.657411
-20.707632,20,96.669264
-26.676411,22,96.678592
-483.232014,1255,98.807559
-59.646322,30,98.819135
-25.535777,326,99.293729
-3635.552317,7098,110.492034
-27.47518,81,110.645345
-64.607501,31,110.656458
-85.996564,50,110.79131
-36.308587,74,110.953522
-1.316473,85,111.105635
-19.305294,434,111.72965
-0.791307,99,111.880592
-4.594704,13,111.885272
0.84534,7,111.888002
0.660115,9,111.891202
-17.048459,296,112.393193
-31.911783,275,112.967562
-17.261181,396,113.59087
-2467.327366,1645,116.246314
-347.916365,1202,118.206674
-53.238621,29,118.34786
-7.739413,17,118.354901
-3981.228523,3589,123.977669
-1873.986236,1123,125.733291
-7626.275443,2951,130.486005
-39.13611,232,130.942017
-2916.902731,1449,133.211446
-69.884538,62,133.369791
-45.334849,527,134.189708
0.41306,6,134.192093
-95.44858,623,135.137674
-57.924398,31,135.277623
-9075.753169,2892,140.050411
0.281785,7,140.05491
-25154.783278,10120,156.417293
-46.163475,905,157.895135
-4.283674,14,157.901554
-1700.555796,1772,160.779581
-5.084194,13,160.786448
-728.86419,740,162.175726
-60.672269,31,162.305085
-333.983855,897,163.83533
-2175.145241,1697,166.719345
-21460.37939,13582,188.912645
-65.808842,715,190.1722
-85.88584,45,190.191927
-47.76658,31,190.205417
-19.059326,158,190.541317
-6288.171992,5724,200.290975
-39.645092,29,200.305105
-2589.883919,1818,203.511103
-244.248464,1898,206.676009
-5735.302282,5978,216.878584
-134.349563,1360,219.229761
-40.049669,27,219.240532
-50.59,31,219.251932
-4095.548203,1599,221.851065
-5254.411424,3108,227.004539
-6409.170937,5040,235.552976
-1550.218134,2010,238.896843
-1072.783973,1041,240.464432
-3202.43293,6124,251.076963
-18985.787533,17129,280.486285
-139.164386,277,281.063119
-41.683604,40,281.082542
-2340.788518,2154,285.225547
-1419.860503,1357,287.669671
-2165.721464,2232,292.010528
-20.27834,75,292.043488
-4802.531826,5084,300.990374
-6829.636603,5892,311.059892
-35.505657,42,311.198617
